Full Text	GPT-4 Summary	GPT-4 Title
The common idea behind both algorithmic complexity and effective complexity is that they define complexity in terms of the properties of descriptions, i.e. of linguistic objects that can in principle be represented by a sequence of symbols or string. Thus, in order to illustrate the basic idea, let us consider the following two strings of binary numbers. While the first string looks essentially random, the second exhibits a very simple pattern. In line with this, the algorithmic complexity of s2  is smaller than that of s1. This is because one can generate s2 with the instruction to repeat [0, 1] ten times, and thus by a relatively short program. By contrast, there does not seem to be a way to reduce the description of s1 and thus an instruction to write out the string needs to contain some representation of the whole string itself.	Algorithmic complexity and effective complexity are both defined based on properties of system descriptions. For instance, in the case of two binary number strings, one random and the other exhibiting a simple pattern, the latter has a smaller algorithmic complexity. This is because a simpler, shorter program can generate the patterned string, while the random string doesn't seem to have a simpler representational form.	Algorithmic and Effective Complexity: An Illustration
In many contexts, notably in biology, we would not ascribe maximum complexity to completely random configurations, but rather think of objects as complex if they exhibit some degree of structure or organization. Applied to our toy example, what we want to find is a measure that assigns higher complexity to s2  than to s1. We can imagine, for example, that the two strings represent the outputs of two differently oriented telescopes, T1 and T2, that measure electromagnetic radiation coming from space. Now let us assume that we repeat the measurement for both telescopes several times and that for T1 we always get a different but random looking string, and that for T2 we always get a string with alternating 0s and 1s. We would then be inclined to say that what we measure for T1 is probably noise, and that what we measure for T2 is an actual signal. In line with this scenario, the idea of effective complexity is to think of the particular object under study as a typical member of a larger ensemble and to consider the information that is needed to describe this ensemble as a measure of its complexity. Thus, the string s1 has low complexity if we think of it as a typical member of the ensemble of all binary strings of length 10 because this ensemble simply has no specific properties that need to be described. And s2 has higher complexity than s1 if we consider it as a representative of the ensemble of binary strings of length 10 with alternating 0s and 1s because we have to provide additional information to define this ensemble.	In many biological contexts, objects exhibiting a degree of structure or organization are often considered more complex than completely random configurations. The concept of effective complexity treats the object of study as a typical member of a larger ensemble. For example, a binary string that follows a pattern is considered more complex than a random string when both are considered as members of their respective ensembles because the ensemble of patterned strings requires additional information for definition.	Effective Complexity and Structure in Biology
From this perspective complexity is not an intrinsic property of the entity, but depends on the particular choice of ensemble. To see this, consider an alternative scenario where repeated measurements of T1 always result in exactly the same string s1. In this case we would likely not think of it as noise but rather as a complex signal. Effective complexity makes sense of this: the relevant ensemble has changed and does not consist of all strings but only of s1 itself. Therefore, the effective complexity of s1 is now higher than that of s2 because the description of this ensemble is considerably longer than the description of the ensemble of s2.	Complexity isn't fixed; it changes based on the ensemble, or group, we compare it to. The same entity can seem more or less complex depending on the context.	Ensemble Selection Influences Effective Complexity
Effective complexity matches the intuition that complexity is somehow related to complicatedness (in this context the difficulty of describing a string), but only if this complicatedness is relevant according to some external criterion which determines the regular and random features of an entity, respectively. Note that there is some ambiguity about the meaning of “regularity” in this context. Regularity can refer to a pattern within a given entity, such as the alternating occurrences of 0 and 1 in s2. But it can also refer to a seemingly random pattern that recurs in different entities (such as the irregular string s1 in the second scenario). Regularity in the former sense is related to simplicity because it allows us to compress the description of a system. Regularity in the latter sense is related to complexity because it suggests the importance of features that need to be taken into account in a description. Taken together, effective complexity makes sense of the two seemingly conflicting intuitions that complexity depends to some extent on regularity or order, but is at the same time related to complicatedness.	Effective complexity considers both the regularity of patterns within an entity and the regularity of patterns recurring in different entities. It balances the notions of regularity (order) and complicatedness to understand complexity.	Regularity & Effective Complexity
 The relativity of complexity in biology 		
How can this idea be applied to real systems, and in particular to the context of biology? While the actual definition of effective complexity in terms of a decomposition of algorithmic information content is quite technical, the intuitive idea behind it actually comes close to what biologists are usually interested in when describing phenomena or their underlying mechanisms. In most cases, biologists do not aim to describe a particular entity in all its idiosyncratic detail, but rather to describe features common to a particular class of entities (whether those objects are macromolecules, cells, organisms, or ecosystems). Thus biology, as many other scientific disciplines, can be seen as engaged in the study of ensembles of entities that share a set of relevant features despite some random variation between them. Effective complexity matches these practices well because it relates complexity to the description of these relevant features. At the same time it makes sense of the seemingly paradoxical fact that complexity is both somehow related to complicatedness and to order. Biologists think of a multicellular organism as more complex than a random bag of cells, even though it seems more difficult to describe the latter at the same level of detail. In analogy with the random string s1  in Sect. 4.1, a description of the random bag of cells would require explicit specification of the location of each cell. An organism, by contrast, can be described in a more economical way because it is organized into spatially separated tissues and organs which contain certain cell types and not others. Nevertheless, the random bag of cells is considered less complex because it is implicitly treated as a system that has no particular configuration (even though every single bag of cells does have a particular configuration), and thus as a member of a large ensemble of entities that do not share any interesting features.	Biologists typically describe common features across a class of entities, essentially studying an ensemble with shared attributes and random variations. This practice aligns well with effective complexity, which links complexity to descriptions of these shared features, reconciling the paradox of complexity relating to both complicatedness and order. For instance, a multicellular organism is considered more complex than a random collection of cells, despite the latter's potential for more detailed description.	Applying Effective Complexity in Biology
An important consideration to be taken into account, however, is that many formal measures of complexity are defined with respect to idealized model systems. In particular, they presume a canonical description of a system which uniquely determines its complexity. For real-world systems, by contrast, complexity is not uniquely defined even given a fixed complexity measure because it also depends on the choice of representation. One may represent a biological organism using just its weight and the position of its center of mass, or one may describe all its components in detail down to the molecular level. More generally, there is not necessarily one privileged decomposition of a system into parts, nor even a unique way of determining what the system’s behavior is. As Stuart Kauffman observes, "not only are multiple views about what a system is doing possible, but also any system may be decomposed into parts in indefinitely many ways, and for any such part, it too can be seen as doing indefinitely many things." (Kauffman 1976, p. 259)	Most complexity measures apply to idealized models with canonical descriptions. Real-world systems, however, do not have unique complexity due to varying representation choices. A system can be decomposed into parts in countless ways and can be perceived as performing various functions, as observed by Stuart Kauffman. Thus, assessing complexity in real-world systems, such as biological organisms, is inherently multifaceted.	Complexity Measures in Real-world Systems
William Wimsatt, drawing on Kauffman’s ideas, argues that, as long as we do not have one exhaustive and unifying theory, each theoretical perspective taken by itself can only give an impoverished view of the real objects (Wimsatt 1972, reprinted in Wimsatt 2007, Chapter 9). In particular, it seems that when we call a system “complex” from a given theoretical perspective, we can in effect only judge the complexity of our particular representation. This suggests that, in order to get an idea of the “actual” complexity of a system, we must also consider how different theoretical perspectives relate to each other. In this regard, Wimsatt offers two concepts—descriptive complexity and interactional complexity—that may be seen as proxies for the possibly inaccessible “actual” complexity of a system. A system is descriptively complex to the extent that different theoretical perspectives pick out decompositions into parts that do not spatially coincide. Scientists belonging to different biological disciplines decompose an organism, like a fruit fly, differently into parts, e.g. according to cell types, developmental fields, or physiological systems. In more descriptively simple systems the decompositions according to different perspectives will tend to coincide more.	Wimsatt suggests that our understanding of a system's complexity depends on our theoretical perspective. He proposes two concepts: descriptive complexity, when different perspectives yield non-coinciding system decompositions; and interactional complexity, concerning how these decompositions interact. For example, biologists may decompose an organism like a fruit fly differently based on their focus - cell types, developmental fields, or physiological systems.	Wimsatt's Concepts of Descriptive and Interactional Complexity
In order to understand Wimsatt’s slightly more complicated concept of interactional complexity, we have to consider the system in a state space representation, that is, in a representation that describes the behavior of variables characterizing the system over time. Each theoretical perspective picks out different properties of a system and therefore works with a different set of variables. Depending on the desired level of predictive accuracy, one can neglect causal links below a certain threshold of interaction strength and thereby obtain a decomposition into subsystems with strong internal bonds. A system is interactionally complex if many of these subsystems partly fall into different perspectives. One will neglect important causal factors and not be able to predict its behavior with precision, unless one considers it from more than one perspective.	Wimsatt's concept of interactional complexity requires us to consider a system's state space representation, which depicts the behavior of system characteristics over time. Different theoretical perspectives choose different variables, thus creating subsystems based on interaction strength. A system is interactionally complex if these subsystems span multiple perspectives, implying multiple viewpoints are needed for accurate predictions.	Wimsatt's Interactional Complexity and State Space Representation
Wimsatt’s analysis thus highlights a further important aspect of relativity: when assessing the complexity of a system, not only must different theoretical perspectives be taken into account, but also the desired level of precision. A system that seems to behave in a very simple fashion when represented in a relatively crude way, such as a mass of water flowing through a tube, appears extremely complex as soon as we aim for a more precise description in which factors like viscosity and turbulence cannot be neglected anymore. Thus, each theoretical perspective seems to give us only a rough approximation of the “actual” complexity of a system and at best a lower bound.	According to Wimsatt, the complexity of a system is tied to the level of precision and the theoretical perspective used for examination. Each perspective gives an approximation of a system's complexity.	Complexity, Precision and Perspective
Does this mean that any non-relative account of ontic complexity is out of reach? Wimsatt suggests that it is difficult, or even pointless, to strive for an account of the complexity of a system in an absolute sense. But maybe such an absolute concept is not what is needed anyway in order to understand the role of the concept of complexity in biology. If we take into account how and when biologists usually apply the concept, it is not clear that a non-relative concept of complexity is even relevant. And the distinction introduced in Sect. 3.3, between the complexity of mechanisms and the complexity of behaviors, may in fact prove to be a solution to the problem of relativity rather than an additional complication. As we have seen, biologists typically apply the concept of complexity not simply to systems in an unqualified sense. Thus, they do not ask “how complex is a fruit fly?”, but instead ask, for example, about the complexity of the network underlying segmentation of the fruit fly embryo. Similarly, when it comes to comparisons between different kinds of organisms, say, about the differences between humans and other animals, what is at issue is not a difference in complexity per se, but rather a difference in complexity with respect to a particular set of biological capacities.	Wimsatt argues that striving for an absolute, non-relative measure of complexity might not be necessary or even relevant in the context of biology. Biologists tend to apply the concept of complexity in a relative sense, focusing on specific aspects or capacities of a system, rather than the system as a whole.	Ontic Complexity: Relative vs Absolute
Thus, in biological contexts complexity is rarely unconditionally applied to systems, but either with reference to a specific behavior of a system or to a mechanism underlying a specific behavior. The idea of complexity as a property that is unconditionally applied to systems may make sense from the perspective of complexity science with its focus on formally specified systems, but it does not fit the situation of biology.	In biology, complexity is usually applied to specific behaviors or mechanisms, not to systems unconditionally.	Complexity in Biological Contexts
The focus on mechanism and behavior allows us to elaborate on the application of the concept of effective complexity in biology. As we have seen, embedding a system in an ensemble effectively means to decide which are the relevant regularities of the system. For the case of mechanisms this kind of relevance relation can in principle be derived from the norms of mechanistic explanation. Thus, the relevant ensemble of a mechanism underlying some behavior can be defined in terms of the regularities that would need to be included in a description that counts as a successful explanation of the behavior. A similar strategy for accounts of biological behaviors appears more problematic, however, because it seems that how these are described depends to a large degree on the particular interests of the investigator. Does this threaten any objective account of biological complexity after all? We can save some degree of objectivity if we take into account the hierarchical structure of explanations in biology. The behaviors that are the explananda in mechanistic explanations in biology are very often embedded in a functional context themselves and figure as parts of the explanantia of yet other behaviors (cf. Craver 2007). For example, the behavior of the heart is explained by the pumping activity of the atria and ventricles, and the behavior of these components is in turn explained with reference to the activity of components at an even lower level. This suggests that descriptions of mechanisms and of behaviors are closely related in biology.	The concept of effective complexity in biology can be enhanced by focusing on the mechanism and behavior of a system. Despite some investigator bias, objectivity can be preserved by considering the hierarchical structure of explanations in biology where behaviors and mechanisms are closely intertwined.	Embedding Complexity in Biological Mechanisms and Behaviors
McAllister (2003) argues that effective complexity is not a good measure of information content because it is not uniquely defined and relative to the cognitive and practical interests of investigators. It is not clear to what extent this is really a problem for Gell-Mann because he admits that his concept is relative in several regards. But it certainly does not pose a problem for my conception of biological complexity because the relevant features, or regularities, on which the application of the concept of effective complexity depends are not arbitrarily determined by the observer, but are constrained by the larger research context and the overarching aim of providing scientific explanations.	While criticisms suggest effective complexity isn't a good measure of information content due to its relativity and dependence on investigator interests, in the context of biological complexity, these concerns are less problematic.	Effective Complexity in the Context of Biological Complexity
Mechanical and emergent complexity reconsidered		
Given this rough sketch of how the complexity of mechanisms and behaviors can both be understood using the idea of effective complexity, we can now turn to the question if we can make sense of the seemingly very different ideas of emergent and mechanical complexity using this concept as well. I propose that we can consider both concepts as derivative of the idea of effective complexity if we think of them as different ways of relating the complexity of a behavior and the complexity of the corresponding mechanism. Briefly, mechanical complexity describes instances where the effective complexity of the behavior more or less matches the complexity of the mechanism, whereas emergent complexity describes instances where the effective complexity of the behavior is high compared to the complexity of the mechanism.	Effective complexity can serve as a framework to understand mechanical and emergent complexity. Mechanical complexity aligns with instances where the effective complexity of behavior corresponds with the complexity of the mechanism, while emergent complexity arises when the effective complexity of behavior is notably higher than the complexity of its corresponding mechanism.	Effective Complexity as a Framework to Understand Mechanical and Emergent 
Recall that the idea of mechanical complexity was that of a system in which the activity of each part is tightly controlled such that the behavior of the system results from the orderly interplay of its components. A satisfactory description of the mechanism underlying this behavior must be relatively detailed. Put differently, the relevant ensemble is relatively small because many possible configurations of the same parts must be excluded. As a consequence, high mechanical complexity is directly related to high effective complexity of the mechanism. At the same time we would probably think of such systems as complex only to the extent that the complexity of the mechanism translates into something that the system is capable of doing. Thus, in mechanically complex systems the complexity of mechanism and the complexity of behavior are roughly of the same order. Given the evolutionary history of biological systems and the contingent and random aspects of evolutionary processes, it is plausible to find many instances in which the complexity of a mechanism seems out of proportion with the the complexity of the corresponding behavior. Elliot Sober cites the example of the surprisingly long loop in the tubing connecting the testes to the penis in mammals as an example of a clear violation of “minimality” (Sober 2015, p. 153). The loop is a result of the particular evolutionary history and does not apparently contribute to the functionality of the structure. Singh and Gupta (2020) have recently proposed the idea of “unnecessary complexity” to describe deviations from “the minimum number of gene-gene interactions and minimum biochemical path lengths necessary for a given molecular function, trait or an organism” (Singh and Gupta 2020, p. 3). More generally, there are usually multiple ways to solve an adaptive problem, and it is widely accepted that evolution does not necessarily produce the optimal solution (e.g. Parker and Smith 1990), let alone the minimally complex solution. Thus, I propose to speak of mechanical complexity when the complexity of the mechanism is similar to the complexity of the behavior, and of unnecessary complexity when the complexity of the mechanism is considerably higher than the complexity of the behavior.	Mechanical complexity refers to systems where the intricacy of the underlying mechanism and the resulting behavior are similar. Unnecessary complexity, on the other hand, arises when the mechanism's complexity substantially surpasses the complexity of the corresponding behavior. The latter often occurs in biological systems due to the contingent and random aspects of evolutionary processes, which do not necessarily yield optimal or minimally complex solutions to adaptive problems.	Mechanical Complexity vs Unnecessary Complexity in Biological Systems
In instances of emergent complexity the relationship between the complexity of the mechanism and the complexity of the behavior is quite different. Here, we have relative simplicity at the level of the mechanism and relative complexity at the level of the behavior. Consider again the example of the flock of birds. Organized and orderly behavior at the level of the flock is thought to “emerge” from disorder and relatively simple interactions at the level of the individual birds. Disorder in this case means that the initial exact configuration of birds does not matter, and that one needs relatively little amount of detail to describe the setup of the system. The relevant ensemble therefore consists of a large number of possible “bird configurations”. The idea of low complexity in mechanism and high complexity in behavior also matches the standard theoretical examples of complexity science, such as the logistic map or the Lorenz system. In both cases there is a relatively simple description of the system in terms of the generating equations (corresponding to the mechanism), but an unexpected complexity in the behavior exhibited by the system. Note that low complexity of a mechanism does not imply that it is easy to understand how the mechanism brings about the behavior. Explaining complex behavior in terms of a simple mechanism is typically a task of high epistemic complexity and often requires sophisticated mathematical tools. By contrast, explaining how the many components of a mechanical clock bring about its time-keeping behavior is surely complicated as well, but seems rather straightforward by comparison. This is presumably another reason why many people are inclined to consider emergent complexity as the only relevant kind of complexity.	Emergent complexity describes systems where relatively simple mechanisms result in complex behaviors. This can be seen in phenomena like bird flocking, where simple interactions between individual birds lead to complex, organized behavior at the group level. Despite the simplicity of the mechanism, understanding and explaining how it generates complex behavior often requires sophisticated mathematical tools and is a task of high epistemic complexity. This concept is prevalent in complexity science, with examples like the logistic map or the Lorenz system.	Emergent Complexity in Biological Systems
In Fig. 1 three possible ways of combining the complexity of mechanism and the complexity of behavior are represented in a schematic diagram. This representation also suggests that there is not a clear separation between the different kinds of complexity, but rather a continuous transition. A quantitative measure for the complexity c(S) of a system S that captures both emergent complexity and mechanical complexity may tentatively be provided by the following expression: c(S)=κ⋅cB(S)withκ=cB(S)cM(S). Here, cB stands for the complexity of the behavior of S, and cM stands for the complexity of the mechanism underlying S’s behavior. First of all, the equation expresses the idea that overall complexity directly increases with the complexity of behavior. The factor κ takes into account the relationship between the complexity of mechanism and the complexity of behavior. We can think of it as the “emergence factor” in the following sense: Mechanical complexity corresponds to systems for which κ≈1, and thus complexity is directly proportional to the complexity of its behavior. Emergent complexity is present when κ≫1, and the case of κ≪1 corresponds to unnecessary complexity.	 Biological complexity can be modeled through the equation c(S)=κ⋅cB(S), where c(S) is the overall complexity, cB(S) is the behavior complexity, and κ is a factor reflecting the ratio between behavior and mechanism complexity. This equation can help quantify mechanical, emergent, and unnecessary complexity in biological systems.	Quantitative Measure for Biological Complexity
This relationship captures the idea that a system like the flock of birds is considered complex not because it exhibits behavior that is particularly complex in absolute terms, but because its behavior is complex relative to the complexity of the underlying mechanism. Furthermore, it is consistent with Ladyman et al.’s sense of complexity emerging from underlying disorder because cM is inversely related to the entropy or degree of disorder, which directly follows from Gell-Mann (2002)’s analysis of total algorithmic complexity as the sum of effective complexity and entropy. It also captures in a rather straightforward sense the worn-out but rarely clarified idea that emergence is present when the whole (i.e. the system’s capacities or behavior) is greater than the sum of its parts (i.e. the underlying mechanism). Finally, the equation also shows in what sense mechanical and emergent complexity can be understood as lying on opposite ends of a spectrum because given a particular explanandum phenomenon (i.e. cB(S) is held fixed), a proposed mechanism exhibits mechanical complexity if cM(S) is high and emergent complexity if cM(S) is low.	Complexity in systems is often perceived relative to the simplicity of their underlying mechanisms. The higher the complexity of behavior compared to the mechanism, the more emergent complexity the system exhibits, and vice versa for mechanical complexity.	Mechanical vs Emergent Complexity
I am not hereby suggesting that this kind of “pseudo-quantitative” measure is directly useful in scientific practice. But I think that it provides a productive way of thinking about biological complexity. Even though it may not get at the “essence” of complexity and does not tell us anything about whether there is an underlying biological or physical property that unites all complex systems, it seems to capture our intuitions well when we compare the complexity of different systems. In particular, it is applicable to both mechanical and emergent complexity, and it is directly related to the basic idea of effective complexity as whatever it is that makes our description of the relevant features of an entity long. Thus, there is not necessarily one underlying intrinsic feature that unifies all systems that we would like to call “complex”. Instead, numerosity, internal variance, or interconnectedness, but also dynamic features such as non-linearity and chaos can all contribute to the complexity of a system in this sense. The concept also partially illuminates the relation between ontic and epistemic complexity because it relates complexity to the degree to which we can compress the description of an entity. Badii and Politi who aim at a comprehensive discussion of the ways in which “complexity manifests itself in nature” (Badii and Politi 1999, p. xi) are drawn to a very similar conclusion: "[T]he concept of complexity is closely related to that of understanding, in so far as the latter is based upon the accuracy of model descriptions of the system obtained using a condensed information about it. Hence, a “theory of complexity” could be viewed as a theory of modeling, encompassing various reduction schemes (elimination or aggregation of variables, separation of weak from strong couplings, averaging over subsystems), evaluating their efficiency and, possibly, suggesting novel representations of natural phenomena...[A] system is not complex by some abstract criterion but because it is intrinsically hard to model, no matter which mathematical means are used." (Badii and Politi 1999, p. 6, emphasis added) In line with this view, complexity can only be assessed with regard to our representations of mechanism or behavior. A system is complex to the extent that it resists ‘condensing’ the amount of information that is needed for describing it. The last part of the quote suggests that this conception, even though subject-dependent in an obvious sense, is not necessarily ‘subjective’ in the sense of depending on the contingent capacities of a particular cognitive agent.	Complexity in biological systems is often a reflection of our descriptions of mechanism or behavior. A system is deemed complex if the information needed for its description is hard to condense. This relative concept of complexity, while dependent on the observer's perspective, is tied to the inherent properties of the system, making it not entirely subjective. It can involve various features including numerosity, variance, interconnectedness, and non-linear dynamics.	Complexity as a Relative Concept
Consider again Warren Weaver’s distinction between ‘disorganized’ and ‘organized’ complexity. The former applies to systems in which the number of variables is very large, but each variable individually shows “helter-skelter” behavior like the molecules in a gas (Weaver 1948, p. 538). When dealing with such systems, one can often apply statistical methods in order to find a compact description in terms of the average behavior of the components. What Weaver is effectively suggesting, therefore, is that disorganized complexity in many cases is just simplicity in disguise. Sometimes, as in the case of statistics, the introduction of a new analytical method can reveal that a system is not as complex as had previously been thought. A similar view can be found in Herbert Simon’s reasoning about complexity. He argues that, "[h]ow complex or simple a structure is depends critically upon the way in which we describe it. Most of the complex structures found in the world are enormously redundant, and we can use this redundancy to simplify their description. But to use it, to achieve the simplification, we must find the right representation." (Simon 1962, p. 481) This at first seems paradoxical: simplicity is found in complex structures. And in fact, many features that are considered hallmarks of complexity, such as hierarchical organization or modularity, are actually regularities that allow for a simplified description of a system. The idea of effective complexity makes sense of this paradox: if one has to describe a particular entity, the description will be shorter if the entity contains some regularities. By contrast, if one has to describe an ensemble of entities, the description will be shorter if the entities do not share any regularities.	Warren Weaver's concept of 'disorganized' complexity involves systems with many variables exhibiting random behavior, like gas molecules. Statistical methods often reveal these systems to be simpler than they appear. Similarly, Herbert Simon suggests that structures perceived as complex often contain redundancies which, when rightly identified, simplify their description. Effective complexity reconciles this paradox: an entity with regularities shortens its individual description, while an ensemble of entities lacking shared regularities shortens the collective description.	Simplicity in Disguised Complexity
A second aspect of the paradoxical relationship between simplicity and complexity is illuminated by the idea of emergent complexity. I have argued that complexity is often associated with systems that exhibit complex behavior, even though the underlying mechanism appears simple. The relationship between ontic and epistemic complexity, however, is non-trivial because the scientific task of understanding does not consist only in describing mechanism and behavior, but in relating the two descriptions.	Despite seemingly simple mechanisms, systems can exhibit complex behaviors, highlighting the challenge in connecting ontic and epistemic complexities.	Emergent Complexity and Simplicity
 Illustrating the framework 		
I would like to illustrate the framework developed in the previous sections with concrete examples from research in biology. In particular, I will discuss different attempts to understand intracellular organization in terms of pathways and in terms of networks. At first glance these attempts seem to imply rather different ideas about biological complexity. While the differences partly concern quantitative aspects of complexity, i.e., the degree of complexity of the system under study, other aspects may best be understood as disagreements about the kind of complexity found in biological systems. But, as highlighted in Sect. 3.2, I suggest that there is a spectrum of complexity between the two extremes of what I have called mechanical and emergent complexity, and so different views on intracellular organization can be located along this spectrum.	Pathways and networks represent contrasting views of complexity within biological systems. While differing in perceived degree and kind of complexity, both perspectives can be interpreted within a spectrum between mechanical and emergent complexity.	Understanding Biological Complexity - Intracellular Organization
Given that I talk about different “perspectives” in the following, one may think that this section mainly discusses epistemic aspects of complexity. However, these perspectives refer to different ways in which scientists conceive of the ontic complexity of biological systems. These different ideas of ontic complexity in turn affect the epistemic complexity of their research problems.	The ways scientists conceive of a biological system's ontic complexity inherently impact the epistemic complexity of their research problems.	Different Perspectives on Biological Complexity
 The pathway perspective 		
Many biological processes at the molecular level are conceptualized in terms of pathways. Biochemistry studies metabolic pathways that connect a series of chemical reactions and convert one or more reactants into a product. In molecular biology the idea of a molecular pathway is closely linked to the metaphor of biological processes as processes of information transfer or of signaling. The basic idea is that the cell receives an external signal, typically in the form of a molecule binding to a receptor expressed on the cell surface, which in turn transduces this signal via a cascade of steps into the nucleus, where it initiates a specific cellular reaction by switching on or switching off a set of target genes. A major incentive for the study of such signaling pathways comes from the field of oncology and is based on the idea that cancer can be understood as “a disease of aberrant signal processing” (Weinberg 2014, p. 176). In the context of a multicellular organism, cells divide only under special circumstances, for instance during processes of growth or wound healing. Specific molecules, called growth factors, can act as signals to promote cell survival or to induce growth or cell division. Many traits of cancer appear similar to the responses of normal cells to growth factor stimulation. Based on this observation, biologists hypothesized that cancer may arise when some components of these growth factor pathways become permanently activated. They found that many tumor cells express a mutated hyperactive form of a particular protein, called Ras, and this finding provided the first step to uncover one of these pathways. As the cancer biologist Steven Weinberg recalls, "[o]ver a period of a decade (the 1980s), these circuits were slowly pieced together, much like a jigsaw puzzle. The clues came from many sources. The story started with Ras and then moved up and down the signaling cascades until the links in the signaling chains were finally connected." (Weinberg 2014, p. 181)	Biological processes at the molecular level are often represented as pathways, such as in biochemistry where metabolic pathways connect a series of chemical reactions. In molecular biology, this notion extends to the concept of information transfer or signaling. Cellular reactions are initiated by external signals, typically molecules binding to cell surface receptors, triggering a cascade of steps leading to the nucleus. This understanding is particularly relevant in oncology, as cancer is often described as a disease of aberrant signal processing. Cancer may occur when components of these pathways become permanently activated, leading to uncontrolled cell growth. This was evidenced when many tumor cells were found to express a mutated form of a specific protein, Ras, linking the intricacies of molecular pathways to the development of cancer.	Pathways and Molecular Complexity in Biology
This strategy seems very common in episodes of mechanism discovery in the life sciences. Discussing the discovery of the mechanism of protein synthesis, Lindley Darden suggests that biologists often apply a strategy of “forward and backward chaining”. That is, they start with known, or hypothesized, components of a mechanism and then attempt to work forward or backward, taking advantage of constraints that the components impose on the possible ways of filling in the gaps. This strategy is well illustrated by the discovery of the Ras-Pathway, which suggests that the idea of a sequential pathway acts as a powerful heuristic in biological research more generally. It reduces epistemic complexity considerably because it is so intimately linked with our general way of conceptualizing causal processes (cf. Bechtel 2011). At the same time, the idea of signaling pathways implies an idea of biological organization as modular in an important sense. Pathways can be studied in relative isolation from each other, and accounts of the activity of different pathways can be integrated to reach a higher level understanding of cellular behavior. The pathway perspective thus also illustrates the applicability of the strategy of decomposition and localization, as described by Bechtel and Richardson (2010). An implication of this perspective is that intracellular organization is actually not as complex as one might expect given the number of relevant components. If different signals are transmitted via specific pathways that are largely isolated from each other, then many potential interactions between components are excluded. And if each component of a pathway interacts with one or at most a few up- and downstream signaling partners, this greatly reduces the number of possible interactions that are expected to be relevant.	The idea of sequential pathways is a powerful heuristic in biological research, aiding in the discovery of mechanisms. For example, in studying protein synthesis, biologists often employ a strategy of "forward and backward chaining," starting with known or hypothesized components and filling in the gaps. This approach significantly reduces epistemic complexity. Moreover, this perspective posits biological organization as modular, suggesting that pathways can be studied relatively independently before being integrated for a comprehensive understanding. This methodology—decomposition and localization—indicates that intracellular organization may not be as complex as initially thought. If specific signals are transmitted via isolated pathways, potential interactions are limited, simplifying the overall complexity.	Mechanism Discovery and the Power of Pathways
The pathway perspective thus suggests a picture of (relatively) low epistemic complexity. Explanations in terms of sequential organization usually do not require sophisticated models and can often be given in informal, qualitative terms. Furthermore, the strategy of functional decomposition allows biologists to black-box lower level processes and to produce tractable explanations in terms of higher level components, which corresponds to a further reduction in epistemic complexity.	The pathway perspective simplifies epistemic complexity by focusing on sequential organization and high-level components, reducing the need for complex models.	Pathway Perspective Simplifies Complexity
Going beyond the epistemic level, the pathway perspective appears as a rather clear instance of mechanical complexity. The behavior of the cell as a whole is envisioned as arising straightforwardly from the contributions of individual and largely independent pathways. Thus, the complexity of the behavior at this level is expected to be of the order of the sum of the complexities of individual pathways. The pathway perspective also implies mechanical complexity if we go down one more level to the explanations of individual pathway behavior. The molecular interactions that constitute a signaling pathway are taken to be extremely specific, and even slight perturbations on individual components of a pathway are expected to result in major problems, as shown in pathologies like cancer. The precise configuration of steps is important and differs from one pathway to another: "This signal transduction biochemistry is organized around a small number of basic principles and a large number of idiosyncratic details." (Weinberg 2014, p. 220) Thus, while the organization inside a cell may not be as tightly constrained as a clockwork, the pathway perspective suggests that we need to take into account all the idiosyncracic details to explain cellular responses in terms of the behaviors of pathways and pathway behavior in terms of the activities of individual signaling components.	The pathway perspective on biological systems embodies mechanical complexity. The behavior of the cell arises from the cumulative contributions of individual, largely independent pathways. These molecular interactions within a signaling pathway are extremely specific, with minor perturbations potentially resulting in significant issues. Thus, to fully explain cellular responses, we need to account for all the intricate details of these pathways.	Pathway Perspective as Mechanical Complexity
 The network perspective 		
Many biologists argue that the pathway perspective is overly simplistic and that intracellular organization should be conceptualized in terms of networks instead. In fact, it is not even clear that the biologists involved in the study of signaling pathways themselves subscribe to the idea of biological organization described in the previous section. Weinberg himself admits, for example, that "our depiction of how signals are transmitted is likely to be fundamentally flawed: a signaling input (...) may operate like the plucking of a fiber in one part of a spider web, which results in small reverberations at distant sites throughout the web." (Weinberg 2014, p. 224)	Some biologists argue that the pathway perspective oversimplifies biological organization. They suggest a network-based approach instead, likening the effect of a signaling input to a disturbance in a spider web, causing reverberations across various distant parts. This perspective offers a more complex view of biological systems.	Network Perspective on Biological Complexity
