Full Text	GPT-4 Summary	GPT-4 Title
The successful use of competition as the principle of social organization precludes certain types of coercive interference with economic life, but it admits of others which sometimes may very considerably assist its work and even requires certain kinds of government action. But there is good reason why the negative requirements, the points where coercion must not be used, have been particularly stressed. It is necessary in the first instance that the parties in the market should be free to sell and buy at any price at which they can find a partner to the transaction and that anybody should be free to produce, sell, and buy anything that may be produced or sold at all. And it is essential that the entry into the different trades should be open to all on equal terms and that the law should not tolerate any attempts by individuals or groups to restrict this entry by open or concealed force. Any attempt to control prices or quantities of particular commodities deprives competition of its power of bringing about an effective coordination of individual efforts, because price changes then cease to register all the relevant changes in circumstances and no longer provide a reliable guide for the individual’s actions.	For competition to function effectively, parties must be free to trade at any price and produce, sell, or buy anything. Entry into different trades should be open to all equally, and the law should prevent attempts to restrict this. Any control over prices or quantities of commodities disrupts competition's ability to coordinate individual efforts, as price changes no longer accurately reflect changes in circumstances.	Competition and Market Freedom
This is not necessarily true, however, of measures merely restricting the allowed methods of production, so long as these restrictions affect all potential producers equally and are not used as an indirect way of controlling prices and quantities. Though all such controls of the methods of production impose extra costs (i.e., make it necessary to use more resources to produce a given output), they may be well worth while. To prohibit the use of certain poisonous substances or to require special precautions in their use, to limit working hours or to require certain sanitary arrangements, is fully compatible with the preservation of competition. The only question here is whether in the particular instance the advantages gained are greater than the social costs which they impose. Nor is the preservation of competition incompatible with an extensive system of social services—so long as the organization of these services is not designed in such a way as to make competition ineffective over wide fields.	Equal restrictions on production methods can coexist with competition, as long as they don't control prices and quantities indirectly. An extensive system of social services can also be compatible with competition, provided it doesn't undermine it.	Regulation and Competition 
It is regrettable, though not difficult to explain, that in the past much less attention has been given to the positive requirements of a successful working of the competitive system than to these negative points. The functioning of a competition not only requires adequate organization of certain institutions like money, markets, and channels of information—some of which can never be adequately provided by private enterprise—but it depends, above all, on the existence of an appropriate legal system, a legal system designed both to preserve competition and to make it operate as beneficially as possible. It is by no means sufficient that the law should recognize the principle of private property and freedom of contract; much depends on the precise definition of the right of property as applied to different things. The systematic study of the forms of legal institutions which will make the competitive system work efficiently has been sadly neglected; and strong arguments can be advanced that serious shortcomings here, particularly with regard to the law of corporations and of patents, not only have made competition work much less effectively than it might have done but have even led to the destruction of competition in many spheres.	The successful operation of competition requires not just recognition of private property and freedom of contract, but also a precise legal framework. This includes the organization of institutions like money, markets, and information channels, and the definition of property rights. The study of these legal institutions has been neglected, leading to inefficiencies and the destruction of competition in some areas.	Legal Framework for Effective Competition
There are, finally, undoubted fields where no legal arrangements can create the main condition on which the usefulness of the system of competition and private property depends: namely, that the owner benefits from all the useful services rendered by his property and suffers for all the damages caused to others by its use. Where, for example, it is impracticable to make the enjoyment of certain services dependent on the payment of a price, competition will not produce the services; and the price system becomes similarly ineffective when the damage caused to others by certain uses of property cannot be effectively charged to the owner of that property. In all these instances there is a divergence between the items which enter into private calculation and those which affect social welfare; and, whenever this divergence becomes important, some method other than competition may have to be found to supply the services in question. Thus neither the provision of signposts on the roads nor, in most circumstances, that of the roads themselves can be paid for by every individual user. Nor can certain harmful effects of deforestation, of some methods of farming, or of the smoke and noise of factories be confined to the owner of the property in question or to those who are willing to submit to the damage for an agreed compensation. In such instances we must find some substitute for the regulation by the price mechanism. But the fact that we have to resort to the substitution of direct regulation by authority where the conditions for the proper working of competition cannot be created does not prove that we should suppress competition where it can be made to function.	While competition and private property are crucial, there are areas where they fall short, such as when the owner of a property doesn't bear the full social cost of their actions, or when certain services can't be priced effectively. In these cases, direct regulation may be necessary as a substitute for competition. However, this doesn't negate the value of competition where it can function effectively.	Limitations of Competition and the Role of Regulation
To create conditions in which competition will be as effective as possible, to supplement it where it cannot be made effective, to provide the services which, in the words of Adam Smith, “though they may be in the highest degree advantageous to a great society, are, however, of such a nature, that the profit could never repay the expense to any individual or small number of individuals”— these tasks provide, indeed, a wide and unquestioned field for state activity. In no system that could be rationally defended would the state just do nothing. An effective competitive system needs an intelligently designed and continuously adjusted legal framework as much as any other. Even the most essential prerequisite of its proper functioning, the prevention of fraud and deception (including exploitation of ignorance), provides a great and by no means yet fully accomplished object of legislative activity.	The state must create conditions for effective competition, supplement it when needed, and provide unprofitable but beneficial societal services. This includes ongoing legislative efforts to prevent fraud and deception.	The Role of State in a Competitive System
The task of creating a suitable framework for the beneficial working of competition had, however, not yet been carried very far when states everywhere turned from it to that of supplanting competition by a different and irreconcilable principle. The question was no longer one of making competition work and of supplementing it but of displacing it altogether. It is important to be quite clear about this: the modern movement for planning is a movement against competition as such, a new flag under which all the old enemies of competition have rallied. And although all sorts of interests are now trying to reestablish under this flag privileges which the liberal era swept away, it is socialist propaganda for planning which has restored to respectability among liberal-minded people opposition to competition and which has effectively lulled the healthy suspicion which any attempt to smother competition used to arouse. What in effect unites the socialists of the Left and the Right is this common hostility to competition and their common desire to replace it by a directed economy. Though the terms “capitalism” and “socialism” are still generally used to describe the past and the future forms of society, they conceal rather than elucidate the nature of the transition through which we are passing.	The modern movement for planning is a shift away from competition, uniting both left and right socialists in their common desire for a directed economy. This transition, often described as a shift from capitalism to socialism, is more about the replacement of competition with planned economies.	The Shift from Competition to Planned Economy
Yet, though all the changes we are observing tend in the direction of a comprehensive central direction of economic activity, the universal struggle against competition promises to produce in the first instance something in many respects even worse, a state of affairs which can satisfy neither planners nor liberals: a sort of syndicalist or “corporative” organization of industry, in which competition is more or less suppressed but planning is left in the hands of the independent monopolies of the separate industries. This is the inevitable first result of a situation in which the people are united in their hostility to competition but agree on little else. By destroying competition in industry after industry, this policy puts the consumer at the mercy of the joint monopolist action of capitalists and workers in the best organized industries. Yet, although this is a state of affairs which in wide fields has already existed for some time, and although much of the muddled (and most of the interested) agitation for planning aims at it, it is not a state which is likely to persist or can be rationally justified. Such independent planning by industrial monopolies would, in fact, produce effects opposite to those at which the argument for planning aims. Once this stage is reached, the only alternative to a return to competition is the control of the monopolies by the state—a control which, if it is to be made effective, must become progressively more complete and more detailed. It is this stage we are rapidly approaching. When, shortly before the war, a weekly magazine pointed out that there were many signs that British leaders, at least, were growing accustomed to thinking in terms of national development by controlled monopolies, this was probably a true estimate of the position as it then existed.5 Since then this process has been greatly accelerated by the war, and its grave defects and dangers will become increasingly obvious as time goes on.	The universal struggle against competition is leading to a syndicalist or "corporative" organization of industry, where competition is suppressed and planning is left to industry monopolies. This situation puts consumers at the mercy of these monopolies. However, this state is neither sustainable nor rational. Once this stage is reached, the only alternative is state control of the monopolies, which must become progressively more comprehensive and detailed. This process has been accelerated by the war, and its serious flaws and risks will become increasingly evident.	The Rise of State-Controlled Monopolies and the Decline of Competition
The idea of complete centralization of the direction of economic activity still appalls most people, not only because of the stupendous difficulty of the task, but even more because of the horror inspired by the idea of everything being directed from a single center. If we are, nevertheless, rapidly moving toward such a state, this is largely because most people still believe that it must be possible to find some middle way between “atomistic” competition and central direction. Nothing, indeed, seems at first more plausible, or is more likely to appeal to reasonable people, than the idea that our goal must be neither the extreme decentralization of free competition nor the complete centralization of a single plan but some judicious mixture of the two methods. Yet mere common sense proves a treacherous guide in this field. Although competition can bear some admixture of regulation, it cannot be combined with planning to any extent we like without ceasing to operate as an effective guide to production. Nor is “planning” a medicine which, taken in small doses, can produce the effects for which one might hope from its thoroughgoing application. Both competition and central direction become poor and inefficient tools if they are incomplete; they are alternative principles used to solve the same problem, and a mixture of the two means that neither will really work and that the result will be worse than if either system had been consistently relied upon. Or, to express it differently, planning and competition can be combined only by planning for competition but not by planning against competition.	The idea of a balanced blend of competition and central planning seems appealing, but in reality, these two principles are incompatible. Both competition and central planning lose their effectiveness when incompletely implemented. They are alternative solutions to the same problem, and a mixture of the two results in neither working effectively. Planning can only be combined with competition if it is planning for competition, not against it.	The Incompatibility of Central Planning and Competition
It is of the utmost importance to the argument of this book for the reader to keep in mind that the planning against which all our criticism is directed is solely the planning against competition—the planning which is to be substituted for competition. This is the more important, as we cannot, within the scope of this book, enter into a discussion of the very necessary planning which is required to make competition as effective and beneficial as possible. But as in current usage “planning” has become almost synonymous with the former kind of planning, it will sometimes be inevitable for the sake of brevity to refer to it simply as planning, even though this means leaving to our opponents a very good word meriting a better fate.	The book criticizes planning that opposes competition, not planning that improves it. However, "planning" is often associated with anti-competitive strategies, causing confusion. It's essential to differentiate between these two types of planning.	The Distinction Between Planning For and Against Competition
 THE “INEVITABILITY” OF PLANNING 		
It is a revealing fact that few planners are content to say that central planning is desirable. Most of them affirm that we can no longer choose but are compelled by circumstances beyond our control to substitute planning for competition. The myth is deliberately cultivated that we are embarking on the new course not out of free will but because competition is spontaneously eliminated by technological changes which we neither can reverse nor should wish to prevent. This argument is rarely developed at any length—it is one of the assertions taken over by one writer from another until, by mere iteration, it has come to be accepted as an established fact. It is, nevertheless, devoid of foundation. The tendency toward monopoly and planning is not the result of any “objective facts” beyond our control but the product of opinions fostered and propagated for half a century until they have come to dominate all our policy.	The argument that central planning is a necessity rather than a choice, driven by unavoidable technological changes, is unfounded. The shift towards monopoly and planning is not an inevitable outcome of objective circumstances, but rather the result of long-propagated opinions that have come to influence policy.	Debunking the Inevitability of Central Planning
Of the various arguments employed to demonstrate the inevitability of planning, the one most frequently heard is that technological changes have made competition impossible in a constantly increasing number of fields and that the only choice left to us is between control of production by private monopolies and direction by the government. This belief derives mainly from the Marxist doctrine of the “concentration of industry,” although, like so many Marxist ideas, it is now found in many circles which have received it at third or fourth hand and do not know whence it derives.	The belief that technological advancements have rendered competition obsolete, leaving us with a choice between private monopolies and government control, is largely rooted in the Marxist concept of industrial concentration.	Technological Change and the False Dichotomy of Control
The historical fact of the progressive growth of monopoly during the last fifty years and the increasing restriction of the field in which competition rules is, of course, not disputed—although the extent of the phenomenon is often greatly exaggerated. The important question is whether this development is a necessary consequence of the advance of technology or whether it is simply the result of the policies pursued in most countries. We shall presently see that the actual history of this development strongly suggests the latter. But we must first consider in how far modern technological developments are of such a kind as to make the growth of monopolies in wide fields inevitable.	The growth of monopolies over the last fifty years is undeniable, but it's crucial to determine whether this is a result of technological advancements or policy decisions. The historical context suggests the latter, but the impact of modern technology on the inevitability of monopolies needs to be examined.	Monopolies: Technological or Policy Driven?
The alleged technological cause of the growth of monopoly is the superiority of the large firm over the small, owing to the greater efficiency of modern methods of mass production. Modern methods, it is asserted, have created conditions in the majority of industries where the production of the large firm can be increased at decreasing costs per unit, with the result that the large firms are everywhere underbidding and driving out the small ones; this process must go on until in each industry only one or at most a few giant firms are left. This argument singles out one effect sometimes accompanying technological progress; it disregards others which work in the opposite direction; and it receives little support from a serious study of the facts. We cannot here investigate this question in detail and must be content to accept the best evidence available. The most comprehensive study of the facts undertaken in recent times is that by the Temporary National Economic Committee on the Concentration of Economic Power. The final report of this committee (which certainly cannot be accused of an undue liberal bias) arrives at the conclusion that the view according to which the greater efficiency of large-scale production is the cause of the disappearance of competition “finds scant support in any evidence that is now at hand.” And the detailed monograph on the question which was prepared for the committee sums up the answer in this statement:	The argument that technological advancements favor large firms due to the efficiency of mass production, leading to the growth of monopolies, is not fully supported by evidence. A comprehensive study by the Temporary National Economic Committee found little evidence to support this view, suggesting that other factors may be at play.	Technological Advancements and Monopolies: A Question of Evidence
“The superior efficiency of large establishments has not been demonstrated; the advantages that are supposed to destroy competition have failed to manifest themselves in many fields. Nor do the economies of size, where they exist, invariably necessitate monopoly. . . . The size or the sizes of the optimum efficiency may be reached long before the major part of a supply is subjected to such control. The conclusions that the advantage of large-scale production must lead inevitably to the abolition of competition cannot be accepted. It should be noted, moreover, that monopoly is frequently the product of factors other than the lower costs of greater size. It is attained through collusive agreement and promoted by public policies. When these agreements are invalidated and when these policies are reversed, competitive conditions can be restored.”	The supposed efficiency of large-scale production leading to monopolies is not definitively proven. While economies of scale may exist, they don't necessarily lead to monopoly. Monopolies often arise from collusive agreements and public policies, not just from lower costs of larger size. 	Monopolies: Not Just a Result of Large-Scale Efficiency
An investigation of conditions in England would lead to very similar results. Anyone who has observed how aspiring monopolists regularly seek and frequently obtain the assistance of the power of the state to make their control effective can have little doubt that there is nothing inevitable about this development.	Monopolies are not an inevitable outcome of market conditions. Observations reveal that potential monopolists often seek and obtain state assistance to establish their control, suggesting that this development is not unavoidable.	State Intervention and the Formation of Monopolies
This conclusion is strongly supported by the historical order in which the decline of competition and the growth of monopoly manifested themselves in different countries. If they were the result of technological developments or a necessary product of the evolution of “capitalism,” we should expect them to appear first in the countries with the most advanced economic system. In fact, they appeared first during the last third of the nineteenth century in what were then comparatively young industrial countries, the United States and Germany. In the latter country especially, which came to be regarded as the model country typifying the necessary evolution of capitalism, the growth of cartels and syndicates has since 1878 been systematically fostered by deliberate policy. Not only the instrument of protection but direct inducements and ultimately compulsion were used by the governments to further the creation of monopolies for the regulation of prices and sales. It was here that, with the help of the state, the first great experiment in “scientific planning” and “conscious organization of industry” led to the creation of giant monopolies, which were represented as inevitable growths fifty years before the same was done in Great Britain. It is largely due to the influence of German socialist theoreticians, particularly Sombart, generalizing from the experience of their country, that the inevitable development of the competitive system into “monopoly capitalism” became widely accepted. That in the United States a highly protectionist policy made a somewhat similar development possible seemed to confirm this generalization. The development of Germany, however, more than that of the United States, came to be regarded as representative of a universal tendency; and it became a commonplace to speak—to quote a widely read political essay of recent date—of “Germany where all the social and political forces of modern civilization have reached their most advanced form.”	The decline of competition and rise of monopolies first occurred in the US and Germany, not in the most economically advanced countries. This suggests that these developments were not inevitable outcomes of capitalism, but rather the result of deliberate policies and state intervention. The German government, in particular, actively encouraged the formation of monopolies.	Monopolies and State Intervention: A Historical Perspective
How little there was of inevitability in all this, and how much is the result of deliberate policy, becomes clear when we consider the position in England until 1931 and the development since that year in which Great Britain also embarked upon a policy of general protection. It is only a dozen years since, except for a few industries which had obtained protection earlier, British industry was on the whole as competitive as, perhaps, at any time in its history. And, although during the 1920s it suffered severely from incompatible policies followed with regard to wages and to money, at least the years up to 1929 compare with regard to employment and general activity not unfavorably with the 1930s. It is only since the transition to protection and the general change in British economic policy accompanying it that the growth of monopolies has proceeded at an amazing rate and has transformed British industry to an extent the public has scarcely yet realized. To argue that this development has anything to do with the technological progress during this period, that technological necessities which in Germany operated in the 1880s and 1890s, made themselves felt here in the 1930s, is not much less absurd than the claim, implied in a statement of Mussolini, that Italy had to abolish individual freedom before other European people because its civilization had marched so far in advance of the rest!	The rise of monopolies in Great Britain in the 1930s was not due to technological progress, but rather to a shift in economic policy towards protectionism. This rapid transformation of British industry was largely unnoticed by the public.	Protectionism and the Rise of Monopolies in Great Britain
In so far as England is concerned, the thesis that the change in opinion and policy merely follows an inexorable change in the facts can be given a certain appearance of truth, just because the nation has followed at a distance the intellectual developments elsewhere. It could thus be argued that monopolistic organization of industry grew up in spite of the fact that public opinion still favored competition but that outside events frustrated their wishes. The true relation between theory and practice becomes, however, clear as soon as we look to the prototype of this development—Germany. That there the suppression of competition was a matter of deliberate policy, that it was undertaken in the service of the ideal which we now call planning, there can be no doubt. In the progressive advance toward a completely planned society the Germans, and all the people who are imitating their example, are merely following the course which nineteenth-century thinkers, particularly Germans, have mapped out for them. The intellectual history of the last sixty or eighty years is indeed a perfect illustration of the truth that in social evolution nothing is inevitable but thinking makes it so.	The suppression of competition and the rise of monopolies in Germany were a result of deliberate policy and planning, not inevitable technological or economic changes. This trend, which has been followed by other nations, was influenced by nineteenth-century thinkers who advocated for a planned society.	Deliberate Policy and the Rise of Monopolies in Germany
The assertion that modern technological progress makes planning inevitable can also be interpreted in a different manner. It may mean that the complexity of our modern industrial civilization creates new problems with which we cannot hope to deal effectively except by central planning. In a sense this is true— yet not in the wide sense in which it is claimed. It is, for example, a commonplace that many of the problems created by a modern town, like many other problems caused by close contiguity in space, are not adequately solved by competition. But it is not these problems, like those of the “public utilities,” etc., which are uppermost in the minds of those who invoke the complexity of modern civilization as an argument for central planning. What they generally suggest is that the increasing difficulty of obtaining a coherent picture of the complete economic process makes it indispensable that things should be coordinated by some central agency if social life is not to dissolve in chaos.	While modern technological progress and industrial complexity do create new challenges that may require some level of central planning, it doesn't necessitate complete central control. The argument that a central agency is needed to prevent social chaos oversimplifies the issue.	Technological Progress and the Need for Central Planning
This argument is based on a complete misapprehension of the working of competition. Far from being appropriate only to comparatively simple conditions, it is the very complexity of the division of labor under modern conditions which makes competition the only method by which such coordination can be adequately brought about. There would be no difficulty about efficient control or planning were conditions so simple that a single person or board could effectively survey all the relevant facts. It is only as the factors which have to be taken into account become so numerous that it is impossible to gain a synoptic view of them that decentralization becomes imperative. But, once decentralization is necessary, the problem of coordination arises—a coordination which leaves the separate agencies free to adjust their activities to the facts which only they can know and yet brings about a mutual adjustment of their respective plans. As decentralization has become necessary because nobody can consciously balance all the considerations bearing on the decisions of so many individuals, the coordination can clearly be effected not by “conscious control” but only by arrangements which convey to each agent the information he must possess in order effectively to adjust his decisions to those of others. And because all the details of the changes constantly affecting the conditions of demand and supply of the different commodities can never be fully known, or quickly enough be collected and disseminated, by any one center, what is required is some apparatus of registration which automatically records all the relevant effects of individual actions and whose indications are at the same time the resultant of, and the guide for, all the individual decisions.	The complexity of modern economies necessitates decentralization, not central planning. This is because no single entity can effectively manage all the variables involved. Instead, a system that automatically records and responds to individual actions, like competition, is needed to guide decisions and ensure coordination.	Decentralization and Coordination in Complex Economies
This is precisely what the price system does under competition, and which no other system even promises to accomplish. It enables entrepreneurs, by watching the movement of comparatively few prices, as an engineer watches the hands of a few dials, to adjust their activities to those of their fellows. The important point here is that the price system will fulfill this function only if competition prevails, that is, if the individual producer has to adapt himself to price changes and cannot control them. The more complicated the whole, the more dependent we become on that division of knowledge between individuals whose separate efforts are coordinated by the impersonal mechanism for transmitting the relevant information known by us as the price system.	The price system under competition effectively manages the complexity of modern economies. It allows entrepreneurs to adjust their activities in response to price changes, which they cannot control. This system relies on the division of knowledge among individuals and coordinates their efforts through an impersonal mechanism.	The Price System and Complexity Management
It is no exaggeration to say that if we had had to rely on conscious central planning for the growth of our industrial system, it would never have reached the degree of differentiation, complexity, and flexibility it has attained. Compared with this method of solving the economic problem by means of decentralization plus automatic coordination, the more obvious method of central direction is incredibly clumsy, primitive, and limited in scope. That the division of labor has reached the extent which makes modern civilization possible we owe to the fact that it did not have to be consciously created but that man tumbled on a method by which the division of labor could be extended far beyond the limits within which it could have been planned. Any further growth of its complexity, therefore, far from making central direction more necessary, makes it more important than ever that we should use a technique which does not depend on conscious control.	Central planning is a primitive and limited method compared to the automatic coordination and decentralization provided by the price system. The complexity of modern civilization is due to the extension of the division of labor beyond planned limits, which makes it even more crucial to use a system that doesn't rely on conscious control.	Automatic Coordination Over Central Planning
There is yet another theory which connects the growth of monopolies with technological progress, and which uses arguments almost opposite to those we have just considered; though not often clearly stated, it has also exercised considerable influence. It contends not that modern technique destroys competition but that, on the contrary, it will be impossible to make use of many of the new technological possibilities unless protection against competition is granted, i.e., a monopoly is conferred. This type of argument is not necessarily fraudulent, as the critical reader will perhaps suspect: the obvious answer— that if a new technique for satisfying our wants is really better, it ought to be able to stand up against all competition—does not dispose of all instances to which this argument refers. No doubt in many cases it is used merely as a form of special pleading by interested parties. Even more often it is probably based on a confusion between technical excellence from a narrow engineering point of view and desirability from the point of view of society as a whole.	Another theory suggests that technological progress necessitates monopolies, arguing that new technologies can only be fully utilized if protected from competition. However, this argument often overlooks the difference between technical excellence and overall societal benefit.	Monopolies and Technological Progress
There remains, however, a group of instances where the argument has some force. It is, for example, at least conceivable that the British automobile industry might be able to supply a car cheaper and better than cars used to be in the United States if everyone in England were made to use the same kind of car or that the use of electricity for all purposes could be made cheaper than coal or gas if everybody could be made to use only electricity. In instances like these it is at least possible that we might all be better off and should prefer the new situation if we had the choice—but that no individual ever gets the choice, because the alternative is either that we should all use the same cheap car (or all should use only electricity) or that we should have the choice between these things with each of them at a much higher price. I do not know whether this is true in either of the instances given. But it must be admitted that it is possible that, by compulsory standardization or the prohibition of variety beyond a certain degree, abundance might be increased in some fields more than sufficiently to compensate for the restriction of the choice of the consumer. It is even conceivable that a new invention may be made some day whose adoption would seem unquestionably beneficial but which could be used only if many or all people were made to avail themselves of it at the same time.	There are instances where monopolies might be beneficial, such as standardizing a product to reduce costs or adopting a new invention that requires widespread use to be effective. However, this restricts consumer choice and assumes that the increase in abundance compensates for this limitation.	Potential Benefits of Monopolies
Whether such instances are of any great or lasting importance, they are certainly not instances where it could be legitimately claimed that technical progress makes central direction inevitable. They would merely make it necessary to choose between gaining a particular advantage by compulsion and not obtaining it—or, in most instances, obtaining it a little later, when further technical advance has overcome the particular difficulties. It is true that in such situations we may have to sacrifice a possible immediate gain as the price of our freedom—but we avoid, on the other hand, the necessity of making future developments dependent upon the knowledge which particular people now possess. By sacrificing such possible present advantages, we preserve an important stimulus to further progress. Though in the short run the price we have to pay for variety and freedom of choice may sometimes be high, in the long run even material progress will depend on this very variety, because we can never predict from which of the many forms in which a good or service can be provided something better may develop. It cannot, of course, be asserted that the preservation of freedom at the expense of some addition to our present material comfort will be thus rewarded in all instances. But the argument for freedom is precisely that we ought to leave room for the unforeseeable free growth. It applies, therefore, no less when, on the basis of our present knowledge, compulsion would seem to bring only advantages, and although in a particular instance it may actually do no harm.	While central direction might offer immediate benefits, it restricts freedom of choice and future developments. Sacrificing immediate gains for freedom can stimulate further progress. The argument for freedom is to allow room for unforeseen growth, even if compulsion seems advantageous based on current knowledge.	Freedom and Future Progress
In much of the current discussion on the effects of technological progress this progress is presented to us as if it were something outside us which could compel us to use the new knowledge in a particular way. While it is true, of course, that inventions have given us tremendous power, it is absurd to suggest that we must use this power to destroy our most precious inheritance: liberty. It does mean, however, that if we want to preserve it, we must guard it more jealously than ever and that we must be prepared to make sacrifices for it. While there is nothing in modern technological developments which forces us toward comprehensive economic planning, there is a great deal in them which makes infinitely more dangerous the power a planning authority would possess.	Technological progress doesn't necessitate the sacrifice of liberty, but it does require us to protect it more diligently. Modern technology doesn't inherently push us towards comprehensive economic planning, but it does amplify the potential risks of such planning.	Guarding Liberty in the Age of Technology
While there can thus be little doubt that the movement toward planning is the result of deliberate action and that there are no external necessities which force us to it, it is worth inquiring why so large a proportion of the technical experts should be found in the front rank of the planners. The explanation of this phenomenon is closely connected with an important fact which the critics of the planners should always keep in mind: that there is little question that almost every one of the technical ideals of our experts could be realized within a comparatively short time if to achieve them were made the sole aim of humanity. There is an infinite number of good things, which we all agree are highly desirable as well as possible, but of which we cannot hope to achieve more than a few within our lifetime, or which we can hope to achieve only very imperfectly. It is the frustration of his ambitions in his own field which makes the specialist revolt against the existing order. We all find it difficult to bear to see things left undone which everybody must admit are both desirable and possible. That these things cannot all be done at the same time, that any one of them can be achieved only at the sacrifice of others, can be seen only by taking into account factors which fall outside any specialism, which can be appreciated only by a painful intellectual effort—the more painful as it forces us to see against a wider background the objects to which most of our labors are directed and to balance them against others which lie outside our immediate interest and for which, for that reason, we care less.	The push towards planning is often led by technical experts, driven by the belief that their specific goals could be achieved quickly if they were humanity's sole focus. This perspective overlooks the reality that pursuing one goal often means sacrificing others, a concept that requires a broader view beyond one's area of expertise.	The Specialist's Dilemma in Planning
Every one of the many things which, considered in isolation, it would be possible to achieve in a planned society creates enthusiasts for planning who feel confident that they will be able to instill into the directors of such a society their sense of the value of the particular objective; and the hopes of some of them would undoubtedly be fulfilled, since a planned society would certainly further some objectives more than is the case at present. It would be foolish to deny that the instances of planned or semiplanned societies which we know do furnish illustrations in point, good things which the people of these countries owe entirely to planning. The magnificent motor roads in Germany and Italy are an instance often quoted—even though they do not represent a kind of planning not equally possible in a liberal society. But it is equally foolish to quote such instances of technical excellence in particular fields as evidence of the general superiority of planning. It would be more correct to say that such extreme technical excellence out of line with general conditions is evidence of a misdirection of resources. Anyone who has driven along the famous German motor roads and found the amount of traffic on them less than on many a secondary road in England can have little doubt that, so far as peace purposes are concerned, there was little justification for them. Whether it was not a case where the planners decided in favor of “guns” instead of “butter” is another matter. But by our standards there is little ground for enthusiasm.	While planned societies can achieve specific objectives more effectively, such as Germany and Italy's impressive motor roads, these achievements don't necessarily indicate the overall superiority of planning. These instances of technical excellence may represent a misdirection of resources, as they often don't align with the general conditions or needs of the society.	Misdirection of Resources in Planned Societies
The illusion of the specialist that in a planned society he would secure more attention to the objectives for which he cares most is a more general phenomenon than the term “specialist” at first suggests. In our predilections and interests we are all in some measure specialists. And we all think that our personal order of values is not merely personal but that in a free discussion among rational people we would convince the others that ours is the right one. The lover of the countryside who wants above all that its traditional appearance should be preserved and that the blots already made by industry on its fair face should be removed, no less than the health enthusiast who wants all the picturesque but unsanitary old cottages cleared away, or the motorist who wishes the country cut up by big motor roads, the efficiency fanatic who desires the maximum of specialization and mechanization no less than the idealist who for the development of personality wants to preserve as many independent craftsmen as possible, all know that their aim can be fully achieved only by planning—and they all want planning for that reason. But, of course, the adoption of the social planning for which they clamor can only bring out the concealed conflict between their aims.	Everyone, to some extent, is a specialist with their own set of values and objectives they believe should be prioritized. Whether it's preservation of the countryside, health and sanitation, efficient transportation, or the development of individual skills, people often believe that their goals can best be achieved through planning. However, the implementation of social planning can reveal hidden conflicts between these various objectives.	Hidden Conflicts in Social Planning
