Full Text	GPT-4 Summary	GPT-4 Title	
One of the lineages contributing to this new configuration is the history of the book. In the profusion of recent book studies, three trends have special relevance to bringing the postprint configuration into view: the impulse to synthesize multiple aspects of the book into a single picture; an emerging emphasis on everyday practices within the print world; and the appearance of narrative strategies specifically catalyzed by the conjunction of digital technologies with the print codex. Together, these trends reveal how the present study overlaps with published scholarship yet also how it opens new possibilities for continuing research.	 The 'postprint' configuration stems from book history, particularly through the synthesis of book aspects, focus on everyday print practices, and exploration of narratives in the digital-print nexus. This contributes to existing scholarship and offers new research paths.	Book History's Role in the Postprint Era	
In the first category of enlarging the scope, Amaranth Borsuk’s The Book is exemplary. Its very existence in MIT’s Essential Knowledge series testifies to the resurgence of interest in the history of the book and the growing scholarly attention to the codex form and its predecessors. The large scope becomes apparent when Borsuk writes that her aim is to consider the book as object, content, idea, and interface. An especially attractive feature is the confident way she handles the advent of digital technologies and the possibilities they present for new kinds of experimentation. Confronting the claim that digital texts will result in the death of books, she brushes aside the looming anxiety booklovers might feel by causally remarking, “That question isn’t as interesting, though, as the question of how each of these technologies [from the invention of moveable type to e-books] has been, and will continue to be, part of the book’s development.” Her chapter on artists’ books makes good on this perspective by including many hybrid print–digital productions as well as works of electronic literature. Although attentive to technological innovations and forms, Borsuk nevertheless locates the moment when literature happens in a reader’s mind: “Books are always a negotiation, a performance, an event: even a Dickens novel remains inert until a reader opens it up, engaging its language and imaginative world.” She even concludes her study by reinforcing the message: “All books, I hope this volume suggests, arise in the moment of reception, in the hands, eyes, ears, and mind of the reader.”	Amaranth Borsuk's The Book expands the scope of book history. It covers the book as an object, content, idea, and interface, confidently addressing the impact of digital technologies on the future of books. Borsuk dismisses fears of the death of books due to digital texts, focusing instead on how technologies contribute to book development. She includes hybrid print-digital works and electronic literature while emphasizing that literature comes alive in the reader's mind.	Amaranth Borsuk's The Book and the Expanded Scope of Book History	
This is a comforting thought for those who want to see the history of the book as a continuing engagement between the artifact and the reader’s mind that stretches unbroken across the centuries. It is also typical of older formations in putting sole emphasis on human cognition. Yet Borsuk knows as well as anyone that this is not the complete story and that in the contemporary era cognitive machine operations often intercede between book and (human) mind. We need go no further than her own creative work to have this key insight confirmed. Her innovative book Between Page and Screen (2016), coauthored with Brad Bouse, presents as a print codex but contains no words, only optical codes that when held up to a digital optical reader project word poems that chronicle a difficult and challenging love affair between P and S (discussed at length in chapter 5). In the arrangement that Borsuk and Bouse have set up, machine interpretations and meaning-making practices are the necessary antecedents for a human reader to perceive any words at all. The result is a book that instantiates itself as a cognitive assemblage, a dynamically interacting coproduction between machine and human cognition. What crucial clue can bring this changed perception into view? I like to think it is “cognition”—the realization that the machine performs not just any operations but specifically cognitive ones. Once this realization has crystallized, it becomes necessary to modify Borsuk’s closing claim that literature is an event that happens in a reader’s mind to a more precise formulation that literature is an event happening (sometimes) in a cognitive assemblage.	While the book history traditionally emphasizes human cognition, modern realities include machine cognition. Borsuk's Between Page and Screen exemplifies this interaction between machine and human cognition, suggesting that literature can be an event in a cognitive assemblage.	Cognitive Assemblage in Modern Literature	The concept of literature has evolved from a solely human-centered event to a dynamic collaboration between human and machine cognition within a cognitive assemblage.
A different encompassing approach is pioneered by Garrett Stewart in Book Text Medium: Cross Sectional Reading for a Digital Age. He comments that “this is the first account to venture in a fully material sense … a sustained conjunction of book studies, textual studies, and media studies: or, better put, book history, textual analysis, and media theory.”24 Somewhat idiosyncratically, he understands the term medium to refer to language rather than to a particular delivery vehicle. This perspective is at once innovative and clever, for it defines medium in such a way that it largely insulates his analysis from having to deal much with technology, positioning it instead to play to his strengths in the areas of verbal ambiguities, language play, and the material properties of book objects. For my money, no one is better at this game than Garrett Stewart. He excels in excavating homophonic puns from linguistic structures as well as in understanding in deep terms how the material properties of the codex can be used to create meanings. He demonstrates this in his earlier publication Bookwork: Medium to Concept to Object to Art, a study devoted to what happens when a book is demediated or altered by an artist so that it literally cannot be read and functions instead as an artifactual object stimulating new realizations in the mind of a viewer.	Garrett Stewart's Book Text Medium: Cross Sectional Reading for a Digital Age merges book studies, textual analysis, and media theory, interpreting 'medium' as language instead of a delivery method. This focus allows Stewart to delve into aspects like language play and the physical properties of books, reducing emphasis on technology. His work, Bookwork: Medium to Concept to Object to Art, further demonstrates his approach to book studies.	Garrett Stewart's Approach to Medium in Book Studies	Garrett Stewart's work in 'Book Text Medium' redefines 'medium' to focus on language, not delivery systems, enabling nuanced analysis of verbal nuances and physical properties of books.
Yet even Stewart finds opportunities to draw connections between his typical interests and computer interpretations—for example, when in Book Text Medium he discusses Borsuk and Bouse’s Between Page and Screen. His response is worth quoting at length for the connections it makes: "Uploaded here is a whole new implementation of the “picture book” as “illuminated” text. A very long leap, then, and not just technological but aesthetic. Even political, as we’ll see—since ceding to the computer the right to do our “book reading” for us, even when only a trope for exaggerated interactivity, has consequences not soon bottled up. A transhistorical leap, to be sure, is needed to move from one end of this long cultural spectrum to the other, from sacred painting to such interactive computer graphics. But recent phases of the intervening terrain have been variously occupied—and rigorously thought (as well as passed) through—by several decades of resistant conceptualist invention in the work of words"	Stewart embraces computer interpretations in his analysis of 'Between Page and Screen', identifying it as a reinvention of the "picture book". This transition from traditional books to interactive digital text prompts significant shifts in aesthetics, technology, and even politics, highlighting the impact and evolution of word art in the digital age.	Leap from Books to Screens	The shift from traditional reading to computer-mediated interaction signifies a transformative leap across aesthetics, technology, and politics, showcasing the evolution of conceptualist invention in the world of words.
We see here the turn from direct consideration of the technology (having the computer do our reading for us) to more familiar territories of conceptual art and the “work of words,” but not before Stewart acknowledges that having a computer read initiates “consequences not soon bottled up.” Indeed! It would take only a gentle nudge, I think, for the new configuration I am limning here to appear from this vision of conceptual and verbal art as interventions in the way humans see ourselves and the objects we create. What’s missing is a sense that computers are also capable of cognition and that they, too, produce interpretations and meanings that circulate within machine contexts as well as human ones. Like a seed crystal dropped into a supersaturated solution, “cognitive assemblages” might do the trick.	Stewart's work recognizes the consequences of computers reading for us before returning to familiar territories of conceptual art and the 'work of words'. However, it lacks the perception that computers also possess cognition, producing interpretations and meanings within both machine and human contexts. The concept of 'cognitive assemblages' could be the missing piece.	Integrating Cognitive Assemblages in Book Studies	 "Cognitive assemblages" recognizes computers as cognition-capable entities, creating and sharing meanings in both machine and human contexts.
Another way in which this study aligns with book studies while nevertheless bringing a new configuration into view is in the emphasis on the everyday. Through interviews, archival research, and textual analyses, Amy Hungerford’s Making Literature Now conveys a vivid impression of what it means to work as a writer and creator of literature in the contemporary moment. Especially useful are her distinction between celebrity and subsistence writers (that is, writers who cannot make a living writing) and her insightful analysis of how each kind of writer depends on the other. The celebrity writer not only solicits work from subsistence writers but also uses their (usually underpaid and sometimes unpaid) labor to create an aura of “art for art’s sake” that enhances the cultural capital of the celebrity writer’s own (usually highly paid) work. Of course, it is not news that celebrity writers hand off certain writing tasks to subsistence writers (think ghostwriters), but Hungerford shows that the present configurations of digital technologies with print books enable new kinds of circular payoffs for both.	Amy Hungerford's Making Literature Now sheds light on the realities of contemporary literature creation through interviews, archival research, and textual analysis. She distinguishes between celebrity and subsistence writers, analyzing how they depend on each other. Celebrity writers often exploit the labor of subsistence writers to enhance their own cultural capital, and Hungerford shows that current combinations of digital technologies with print books allow novel benefits for both parties.	Contemporary Literature Creation and Its Complexities	The interplay of digital technologies and print books reshapes the relationship between celebrity and subsistence writers in the contemporary literary scene.
One of Hungerford’s case studies is the digital version of The Silent History (discussed here in chapter 4 as the print codex published when the app version was completed), with Eli Horowitz as master creator enlisting app users to submit “Field Reports” that extend the narrative via Global Positioning System (GPS) technology into local habitats and local knowledge. Although she does not mention it, we might also think of Ship of Theseus, the collaborative project between celebrity media creator J. J. Abrams, who masterminded the concept, and Doug Dorst, whom Abrams enlisted to write the narratives. It is no accident that this codex, like The Silent History, is formally innovative, for both works are postprint productions completely interpenetrated by the digital technologies crucial for their physical instantiations.	Hungerford's study includes the digital version of The Silent History, where Eli Horowitz incorporated user-submitted "Field Reports" using GPS technology. This extends the narrative into local environments. Another example is the collaboration between J.J. Abrams and Doug Dorst on Ship of Theseus. Both works are innovative postprint productions, demonstrating the significant influence of digital technologies on their creation.	Digital Innovations in Contemporary Literature	Digital technologies, encompassing user contributions and collaborations, are fundamentally transforming narrative creation in today's literature.
Although Hungerford emphasizes the personal connections between writers and publishers (especially McSweeney’s), she is also alert to differences between digital instantiations and print books. Her chapter on The Silent History recognizes that the digital instantiation is actually quite different from the print version (see chapter 4 for an analysis of how the codex version’s verbal text differs from the app version’s). Moreover, she is quick to make the connection between users of the app and the silent protagonists of The Silent History, who are alienated from normal social relations by their inability to learn or understand verbal language. In both the app and codex versions, we learn that the “silents,” as they are called, are subjected to mandatory computational implants that enable them to speak, but at the price of confining their articulations solely to the words and phrases in the computer’s databases. In direct address to the reader, Hungerford makes the connection between the implanted silents and the app users (who may be hearing an audio version of the narrative through headphones): “You find yourself manipulated by a central processor that pipes language into your brain … [and that] makes us into the very figure of the wandering silent.” The recognition that the “central processor” is a cognitive actor trembles on the brink of visibility here. If brought into full view, it would enable a cascading series of realizations about what it means for humans to act within computational environments that are capable of performing interpretations and creating meaningful contexts, some of which are aimed at machine addressees rather than human ones. Here the new configuration, once perceived, would enlarge the scope of inquiry so that it pertains not just to a single digital work but to our contemporary condition as actors within cognitive assemblages.	Hungerford discerns the differences between digital and print versions of "The Silent History" and compares the user's interaction with the app to the silent protagonists who receive mandatory computational implants. This recognition opens a discussion about humans functioning within computational environments capable of interpretation and creation of meaningful contexts.	Bridging Human and Machine Interactions	Hungerford's analysis suggests computation as an active participant in human-computer interactions within cognitive assemblages.
In the field of book history, Ted Striphas perhaps comes closest to the interests of the present study in The Late Age of Print when he interrogates some of the technologies that made the contemporary codex into a mass-produced commodity integrated with digital technologies in its production, distribution, marketing, and consumption. It is interesting that in 2009 he still found it useful to pick up on Jay David Bolter’s phrase “the late age of print” for his title, referring to Bolter’s study published in 1990 in a preweb era that is now apt to seem quaintly old-fashioned. Striphas quotes Bolter’s assertion that “just as late capitalism is still vigorous capitalism, so books and other printed materials in the late age of print are still common and enjoy considerable prestige.”30 Of course, printed books are still common, but whereas the phrase late age emphasizes continuities, the term postprint acknowledges both continuities and ruptures. Moreover, postprint denotes that far more than the physical artifact is involved, extending the transformation’s scope into every aspect of book production and consumption. In addition, the cognitive-assemblage framework developed here links these artifactual and technological changes with large-scale cultural, economic, and psychological processes through the operations of hybrid human–technical collectivities crucial to contemporary developed societies. Striphas writes that his focus on the everyday has the advantage of concentrating on change “without presuming a full-blown crisis exists.” I agree with his strategy of avoiding an apocalyptic tone, although I would add that precisely because cognitive assemblages have become the everyday does not mean that they are not effecting transformations of massive scope and import. They are both banal and momentous, everyday and utterly transformative.	Striphas's study in "The Late Age of Print" analyses the technologies involved in the production and consumption of contemporary codex, stressing on the everyday changes rather than a looming crisis. However, the term "postprint" and the concept of "cognitive assemblages" encapsulate a broader transformation, linking these changes with larger cultural, economic, and psychological processes, acknowledging their significant, transformative impact.	Cognitive Assemblages in the Late Age of Print	The integration of digital technologies in book production and consumption is both commonplace and transformative, driving significant cultural, economic, and psychological shifts.
For my purposes, the clearest example of how digital technologies affect contemporary book production comes in Striphas’s chapter on the history and implementation of the International Standard Book Number (ISBN). He cites a report from O. H. Cheney in 1932 asserting that the major chokepoint in the book industry’s expansion was its lack of standardized distribution mechanisms, thus highlighting the importance of back-office operations for the entire trade. The solution, Striphas explains, included the development of standardized numbers that would uniquely characterize each volume. He makes the point that the “ISBN isn’t merely a glorified stock number. Rather, it’s a carefully conceived, highly significant, and mathematically exact code that contains detailed information about the identity of each book,” including information about the book’s language, region or nation, publisher, title, edition, and binding. “Corporate booksellers,” he continues, “make books fungible, commensurable with one another. The ISBN was a crucial back office counterpart of these processes.”	Striphas's chapter highlights the significance of the ISBN in book industry, as it provided a standardized mechanism that improved distribution by uniquely identifying each book's key details and thereby facilitated the expansion of the book industry.	ISBN and its Role in the Book Industry	The implementation of the ISBN system significantly streamlined the book industry's distribution mechanisms.
So useful had ISBN codes become by 1980 that the International ISBN Agency contacted its counterpart, the European Article Number (EAN) International, to integrate the two systems in ways that would account for currency and national differences, which required that a prefix referring to the country of origin be added to the ISBN. Charmingly, the solution was to invent the fictious country of Bookland, denoted by the prefix 978. It was not until several years later, in the late 1980s, that the U.S. book industry finally agreed that all books sold in bookstores “would be imprinted exclusively with the Bookland EAN bar code.” It is no coincidence that this period was also the era when mainframes were being replaced by desktop computers, making computational functionalities accessible to every bookstore and book distributor. Although Striphas does not emphasize the point, the incorporation of ISBNs into computer databases via digital optical readers in the 1980s greatly expanded the ISBNs’ utility, allowing them to be integrated with other information about books in ways that vastly improved not only distribution but also warehousing, inventory, shelving, and sales records. Striphas’s account vividly demonstrates how important back-office operations are to the organization of the book industry. It follows that the penetration of computational processes into these operations also had enormous consequences for everyday practices that affected not only how books became mass-market commodities but also how they were—and are—produced, edited, formatted, warehoused, sold, and read: in brief, how books began to function within the cognitive assemblages crucial to contemporary developed societies.	 The integration of the ISBN with the European Article Number (EAN) system and its digitization in the 1980s transformed the book industry by improving various aspects including distribution, warehousing, inventory management, shelving, and sales records, making books function within the crucial cognitive assemblages of contemporary developed societies.	Digitization of ISBN and Transformation of Book Industry	The digitization of the ISBN system significantly transformed the book industry, integrating it into the cognitive assemblages of modern societies.
Positioned somewhere between book studies and media studies is Alexander Starre’s analysis of what he calls metamedia. He uses the term to demonstrate that the penetration of computational media into composing practices has affected the structures and meanings of literary texts. “Broadly speaking,” he writes, “a literary work becomes a metamedium once it uses specific devices to reflexively engage with the specific material medium to which it is affixed or in which it is displayed.” As he acknowledges, in Writing Machines I developed a similar concept of “technotext,” a literary work that reflects within itself the technological conditions of its composition and production. I have also discussed some of the texts he analyzes in terms of their self-reference to digital technologies, including Mark Danielewski’s House of Leaves and Jonathan Safran Foer’s Extremely Loud and Incredibly Close and Tree of Codes. Starre is careful to delineate the ways in which his work diverges from mine, but the broader point, I think, is that we agree that digital technologies have deeply influenced not only how books are produced but also how they are conceived and written. “My argument about medial self-reference takes on its full significance when sketched out against the background of a different medium,” he writes—that is, when seen in the context of digital technologies as distinct from paperbound books.	Alexander Starre's concept of "metamedia" reflects how computational media has influenced the structure and meaning of literary texts, signifying their self-awareness of the technological conditions of their composition and production.	Metamedia: Literature's Self-Awareness in the Digital Age	Digital technologies have profoundly influenced the conception, writing, and self-referential nature of literary texts.
If I had to critique Starre’s approach, I would focus on his claim that the term metamedia (which I like a lot) is broader than the term technotext because it corrects what he calls the “technological bias” of the latter. Whether my approach consists of a “bias” toward technology or a focus on it depends on how important one considers technology, in particular computational media, in our contemporary moment. My argument here is that computational media, in addition to transforming everyday practices in innumerable ways, have also fundamentally altered the nature of cognition, repositioning human actions so that they increasingly operate within the contexts of cognitive assemblages. Of course, this repositioning affects how print books are conceived and written in the digital era, but the full scope of the transformation is much broader. Although the concepts of postprint and becoming computational include the phenomena that Starre references through metamedia, they also bring into view an emerging configuration in dynamic interplay with older formations associated with print culture, as we will witness, for example, in chapter 3, on how digital technologies are transforming scholarly publishing.	The transformative role of computational media extends beyond everyday practices, fundamentally altering cognition and impacting the conception and writing of print books in the digital era.	Broad Reach of Computational Media	Computational media significantly changes cognition.
Media Archeology, Cultural Techniques, and Cognitive Assemblages			
			
In addition to overlapping with history of the book and book studies, the cognitive-assemblage approach has commonalities with media archeology as well as some differences. According to Wolfgang Ernst, media archeology (in Ernst’s spelling, “archaeology”) proposes a countermethodology to a human-centered narrative approach, considering events from a nonhuman point of view, in particular the viewpoint of technical media. As Ernst puts it, “The media-archaeological method … is meant as an epistemologically alternative approach to the supremacy of media-historical narratives.”38 Focusing on technical media, Ernst characterizes them by pointing to the difference between painting and photography. Whereas the materials required by painting are always accessible to human senses, the active processes in photography (leaving aside setting the speed, aperture, and focus and clicking the shutter) are physiochemical reactions and are not generally directly accessible by human users. Today’s camera, considered distinct from the human operator, has a cognitive viewpoint, and one of the goals of media archeology is to explore this viewpoint as fully as possible. Working from a different set of premises, Ian Bogost accomplishes a similar task in his discussion of the Foveon-equipped Sigma DP digital-image sensor.39 As his analysis makes clear, media have bodies; that is, they are materially instantiated. And their bodies are increasingly equipped with sensors, actuators, and information processors. They perform interpretations and arrive at meanings specific to the contexts in which they operate and the functions they are designed to perform.	Media archeology provides an alternative, non-human-centric viewpoint, focusing on technical media and their inherent functions and interpretations. Similarly, as materials evolve, devices have physical bodies with sensors, actuators, and information processors, which shape their interpretations and meanings.	Beyond Humans in Media Archeology	 Technical media have their own non-human perspective and functions, leading to unique interpretations and meanings.
In practice, media archeology often focuses on legacy media such as early cinematic devices, telephones, telegraphs, and so forth. The tendency in media archeology is to promote, as Ernst describes it, an “awareness of moments when media themselves, not exclusively humans anymore, become active ‘archaeologists’ of knowledge.” The differences between narrative and media archeology deepen when the devices are cognitive or, as Ernst writes, when “techno-epistemological configurations” underlie the “discursive surfaces”—that is, when software architectures generate the output that humans see. If one focuses only on the (human-centered) display, the machine’s viewpoint is lost, and one consequently has little or no idea of what is actually generating the display and the results it conveys.	Media archeology often focuses on older media, raising awareness of moments when media themselves become 'archaeologists' of knowledge. When dealing with cognitive devices, focusing solely on human-centered display could obscure the understanding of underlying software architectures generating the output.	Media Archeology and Legacy Media	Older media and cognitive devices offer unique perspectives that may get lost if we only focus on the human-centered display.
Ernst’s assertion that devices are “ ‘archaeologists’ of knowledge” claims more than his argument rightly earns, but in the present environment of networked and programmable machines it can be justified. For example, emulators (or virtual machines) are designed to mediate between an older operating system and a newer one, translating between legacy and newer code so that files can be read and commands can be executed that otherwise would be unreadable and inoperable. Such a machine can be considered an “archeologist” (whether it is an archeologist of knowledge would require a longer discussion about what “knowledge” means in a machine context). The media-archeology approach positions human subjectivity, especially its inclination toward narrative, as a limitation from which a machine viewpoint can liberate us. Such a perspective can wean us away, as Ernst says, from “wanting to tell stories,” which only serves to “reinforce our subjectivity,” and instead catalyze awareness of how machines actually work—that is, how they operate through nondiscursive methods.	Machines like emulators can serve as 'archaeologists' by translating between old and new systems, thus enabling understanding of outdated codes. Media archaeology encourages a shift from human-centric narratives to understanding the non-discursive functioning of machines.	Emulators as Knowledge Archaeologists	Machines, like emulators, can provide deeper understanding by translating between old and new systems.
The media-archeology approach has much to recommend it. It opens up explorations of machine capabilities in their own right and activates Foucauldian questions about such crucial matters as the nature of the archive beyond language, in which, as Jussi Parikka puts it, “power is no longer circulated and reproduced solely through … practices of language, but takes place in the switches and relays, software and hardware, protocols and circuits of which our technical media systems are made.” A limitation, apparent in Ernst but less true of media archeology in general, is a tendency to create an either/or binary between human and machine viewpoints. In the contemporary era, combinations of machine and human perspectives are far more typical, as theorists such as Parikka and Lori Emerson recognize and exploit in their analyses.	Media archaeology presents insights into machine capabilities, prompting questions about power beyond language. However, it tends to oversimplify the human-machine relationship, while the reality is more intertwined.	Media Archaeology's Strengths and Limitations	Media archaeology provides valuable insights into machine capabilities but often oversimplifies the complex relationship between humans and machines.
The latter point has another aspect, too: in focusing only on the technical capabilities of media, salutary as that may be, the media-archeology approach sometimes leaves to the side the historical circumstances in which those devices were created, including why the inventors focused on certain functionalities rather than on others, why some devices were commercially successful and others were not, and how the devices transformed the media ecologies in which they were embedded. As Simondon writes in the introduction to On the Mode of Existence of Technical Objects, “In technical reality there is a human reality,” though he also insists on the converse, that in human reality there is technical reality. He continues: “If [a focus on technical objects] is fully to play its role, culture must come to terms with technical entities as part of its body of knowledge and values.” Writing in the 1950s and 1960s, Simondon was ahead of the curve. The narrative approach that arguably dominated media history and theory through the 1980s received a shock to thought when in 1992 Friedrich A. Kittler’s Discourse Networks 1800/1900 burst upon the scene: thereafter, media theory took a decisive turn away from narrative and toward the materialities of media.	Media archaeology's focus on technical media capacities often overlooks the historical contexts and human aspects of technological development.	The Human Factor in Media Archaeology	 In studying media archaeology, it's essential to consider the historical and human factors that shape technological development and use.
In this sense, the media-archeology framework (along with the Kittlerian thrust of what is somewhat problematically called “German media theory”) provides a useful corrective. As Ernst makes explicit, however, it does so at the expense of exploring the human reality entwined with the technical: “Media archaeology concentrates on the nondiscursive elements in dealing with the past: not on speakers but rather on the agency of the machine.” Because media archelogy tends to obscure the human reality entwined with technical reality, it falls short of being a complete account of the cognitive operations of technical devices. Chapter 2 adopts a media-archelogy approach to the extent that it emphasizes the cognitive capabilities of the typesetting machines that evolved from the late nineteenth century to the end of the twentieth century. Throughout, however, it also attends to the humans who created the machines, discussing their motives, organizational contexts, and distinctive contributions. It thus benefits from media-archeology perspectives (a debt I am pleased to acknowledge) but combines them with historical-narrative approaches to present a fuller picture of how the human side of cognitive assemblages interact with the technical cognizers emerging within computational media.	 Media archaeology studies technology from a non-human perspective, but often overlooks the human-technical intertwined reality. While highlighting machine functions, it sometimes misses their historical context and human elements. This chapter combines these viewpoints for a balanced understanding of technology's evolution.	Balance in Technology Analysis	Understanding technological evolution requires considering both machine capabilities and the human elements involved in their creation and evolution.
Perspectives focusing on “cultural techniques” have recently emerged as contenders for the title “German media theory.” Bernhard Siegert’s excellent introduction to his book Cultural Techniques articulates the central ideas of this approach and locates it within media theory more generally. Siegert quotes Thomas Macho’s argument that “cultural techniques—such as writing, reading, painting, counting, making music—are always older than the concepts that are generated from them. People wrote long before they conceptualized writing or alphabets; millennia passed before pictures and statues gave rise to the concept of the image; and to this day, people may sing or make music without knowing anything about notes or musical notation systems.” The argument, then, is that culture “bubbles up” from the everyday use of objects and only retrospectively solidifies into concepts, rituals, and abstractions that, according to some, constitute what can be considered “cultural” beliefs or even “culture” as such. Expanding on this assumption, Siegert writes that “operations such as counting or writing always presuppose technical objects capable of performing—and to a considerable extent, determining—these operations.” By focusing on technical objects (construed quite broadly as including doors, filters, and grids, each the subject of one of Siegert’s chapters), the cultural-techniques approach claims to have a view of culture at its source, uncontaminated by the biases and misperceptions lurking in accounts that start from the assumption that culture is what people say or think rather than what they do.	Cultural techniques approach argues that everyday use of objects forms culture before it solidifies into concepts. Technical objects, capable of performing operations like counting or writing, are central to these operations. This approach perceives culture as what people do rather than what they say or think.	Cultural Techniques: Action Over Abstraction	The cultural techniques perspective asserts that culture emerges from the practical use of objects and daily actions rather than abstract concepts and beliefs.
Although sharing with media archeology a focus on objects, the cultural-techniques approach diverges from it in taking a keen interest in how objects are created, used, modified, and discarded, which necessarily expands the scope of the approach to human interactions with technical objects. Humans, in this view, are constituted through the objects they fabricate and the practices through which objects are put to use: “Humans as such do not exist independently of cultural techniques of hominization,” Siegert asserts. The interest for Siegert is not so much on objects by themselves or humans by themselves but rather on the interactions that connect them. With a nod to Latour’s actor-network theory, he writes, “When we speak of cultural techniques, therefore, we envisage a more or less complex actor-network that comprises technological objects as well as the operative chains they are part of and that configure or constitute them.”	The cultural-techniques approach stresses the importance of the creation, use, modification, and disposal of objects and their interaction with humans. This approach views humans as entities shaped through their interaction with the technical objects they produce and utilize.	Interplay of Humans and Objects	Cultural techniques view humans and objects as intertwined, each shaping the other through their interactions.
The cognitive-assemblage approach travels along the same path as media archeology in affirming that objects may have viewpoints, and it shares with the cultural-techniques approach an intense interest in understanding the chains of connection and causality that enmesh humans and objects together into assemblages. The main point of difference lies in the emphasis on cognitions as processes central to understanding how cognitive assemblages are constituted, function, adapt and evolve, and have become pervasive in contemporary societies. The design of simple everyday objects such as the doors, grids, and filters that Siegert discusses now increasingly involve computational media (through computer-aided design and computer-aided manufacturing and other kinds of simulation software); in the case of automated factories, their fabrication also runs through computational devices (such as industrial robots). Hence, in the cognitive framework the emphasis falls not solely or even primarily on hominization as creating distinctions between humans and nonhuman animals (Siegert’s “humans as such”) but rather on the ways in which humans are now inextricably bound up with networks of intelligent devices, from jet aircraft to underground fiber-optic cables and almost everything else in between.	Cognitive-assemblage approach, unlike media archaeology and cultural techniques, centers around cognition. It acknowledges the influence of computational devices on both design and manufacturing processes in today's societies.	Cognitive Assemblages and Computational Influence	The cognitive-assemblage approach underlines how cognitive processes and intelligent devices shape the creation of everyday objects.
The subtitle of Siegert’s book ends with Articulations of the Real, indicating that cultural techniques not only interact with and help to define the human but also interact with the world as it exists independent of human perceptions. “The analysis of cultural techniques observes and describes techniques involved in operationalizing distinctions in the real. They generate the forms in the shape of perceptible unities of distinctions. Operating a door by closing and opening it allows us to perform, observe, encode, address, and ultimately wire the difference between inside and outside.” Similarly, the cognitive-assemblage framework acknowledges that cognitive devices do more than interface with humans; they also interact with one another and through more or less complex networks of sensors, actuators, and transmitters perform actions independent of human interventions and in many instances removed from human knowledge of their actions. The emphasis on cognition implies that intelligent devices not only “articulate the real” but also, as my definition of cognition emphasizes, interpret it as well. Diverging from both media archeology and cultural techniques in this respect, the cognitive-assemblage framework raises large questions that emerge when meaning-making practices, not exclusively human anymore (if they ever were!), also extend to nonhuman life-forms and computational media.	Cultural techniques interact with and shape reality beyond human perception, contributing to forming the real world. The cognitive-assemblage approach further emphasizes that intelligent devices also interpret reality. This involves acknowledging that meaning-making is not solely a human activity, but extends to nonhuman life and computational devices, raising new questions in the process.	The Intersection of Cultural Techniques and Cognitive Assemblages	Intelligent devices not only articulate reality, they interpret it, thus challenging the idea that meaning-making is solely a human activity and opening up new areas of inquiry.
Chapter 3, featuring interviews with personnel at five university presses, illustrates the specific questions that arise when the conscious assumptions and nonconscious intuitions of humans practicing cultural techniques interact with computational media. Directors, editors, and other staff involved in university book production bring to their tasks deeply held beliefs about what books are as well as about what scholarship is and should be. Their beliefs are rooted in years of experiencing books as intellectual projects scrutinized, interrogated, and evaluated for their intellectual contributions and as physical artifacts designed, handled, and appreciated for their aesthetic qualities. As computational media take over tasks formerly done solely by humans, such as designing from templates, these people face everyday consequential decisions about how much they want to rely on technical cognition and how much they want to preserve as enclaves in which human creativity and decisions are paramount. Nowhere is this clearer than with university presses that are developing online-publishing venues, such as the University of Minnesota’s Manifold platform. The necessity to prepare a text so that it conforms to what computational media can process is in constant active tension with the desire to make the product express what its human creator envisioned. Of course, there are opportunities as well as constraints in this dance between human and technical cognition. The complexities of the situation require a new kind of approach that draws on media archeology and cultural techniques but goes beyond both in its attention to the kinds of interactions emerging from and constitutive of the cognitive assemblages so crucial in today’s developed societies.	University press personnel face decisions about the role of computational media in tasks like book design, often balancing the constraints and opportunities presented by technology. The transition to online-publishing platforms involves a tension between maintaining the author's vision and adhering to what computational systems can handle. Addressing these complexities necessitates an approach combining elements of media archeology and cultural techniques, while also focusing on the unique interactions forming cognitive assemblages crucial in modern societies.	Balancing Human Creativity and Computational Media in Book Publishing	The contemporary publishing landscape necessitates a balance between human creativity and computational capabilities, a dynamic best understood through a hybrid approach blending media archeology, cultural techniques, and study of cognitive assemblages.
 What Lies Ahead 			
